        time     pot_ergy        press
  0.4230E+00  -0.4286E+01   0.3097E+01
  0.4240E+00  -0.4277E+01   0.3138E+01
  0.4250E+00  -0.4269E+01   0.3179E+01
  0.4260E+00  -0.4260E+01   0.3219E+01
  0.4270E+00  -0.4251E+01   0.3260E+01
  0.4280E+00  -0.4243E+01   0.3300E+01
  0.4290E+00  -0.4234E+01   0.3340E+01
  0.4300E+00  -0.4226E+01   0.3379E+01
  0.4310E+00  -0.4218E+01   0.3417E+01
  0.4320E+00  -0.4210E+01   0.3454E+01
  0.4330E+00  -0.4202E+01   0.3491E+01
  0.4340E+00  -0.4195E+01   0.3527E+01
  0.4350E+00  -0.4187E+01   0.3563E+01
  0.4360E+00  -0.4180E+01   0.3599E+01
  0.4370E+00  -0.4172E+01   0.3633E+01
  0.4380E+00  -0.4165E+01   0.3668E+01
  0.4390E+00  -0.4158E+01   0.3701E+01
  0.4400E+00  -0.4150E+01   0.3735E+01
  0.4410E+00  -0.4143E+01   0.3769E+01
  0.4420E+00  -0.4136E+01   0.3802E+01
  0.4430E+00  -0.4129E+01   0.3836E+01
  0.4440E+00  -0.4121E+01   0.3870E+01
  0.4450E+00  -0.4114E+01   0.3904E+01
  0.4460E+00  -0.4107E+01   0.3938E+01
  0.4470E+00  -0.4099E+01   0.3971E+01
  0.4480E+00  -0.4093E+01   0.4003E+01
  0.4490E+00  -0.4086E+01   0.4034E+01
  0.4500E+00  -0.4079E+01   0.4065E+01
  0.4510E+00  -0.4073E+01   0.4095E+01
  0.4520E+00  -0.4066E+01   0.4124E+01
  0.4530E+00  -0.4060E+01   0.4153E+01
  0.4540E+00  -0.4054E+01   0.4182E+01
  0.4550E+00  -0.4048E+01   0.4211E+01
  0.4560E+00  -0.4041E+01   0.4241E+01
  0.4570E+00  -0.4035E+01   0.4270E+01
  0.4580E+00  -0.4029E+01   0.4298E+01
  0.4590E+00  -0.4025E+01   0.4318E+01
  0.4600E+00  -0.4022E+01   0.4333E+01
  0.4610E+00  -0.4020E+01   0.4345E+01
  0.4620E+00  -0.4018E+01   0.4356E+01
  0.4630E+00  -0.4017E+01   0.4365E+01
  0.4640E+00  -0.4015E+01   0.4372E+01
  0.4650E+00  -0.4015E+01   0.4378E+01
  0.4660E+00  -0.4014E+01   0.4385E+01
  0.4670E+00  -0.4012E+01   0.4391E+01
  0.4680E+00  -0.4012E+01   0.4396E+01
  0.4690E+00  -0.4012E+01   0.4400E+01
  0.4700E+00  -0.4011E+01   0.4403E+01
  0.4710E+00  -0.4011E+01   0.4407E+01
  0.4720E+00  -0.4010E+01   0.4411E+01
  0.4730E+00  -0.4010E+01   0.4412E+01
  0.4740E+00  -0.4010E+01   0.4414E+01
  0.4750E+00  -0.4010E+01   0.4416E+01
  0.4760E+00  -0.4010E+01   0.4416E+01
  0.4770E+00  -0.4011E+01   0.4416E+01
  0.4780E+00  -0.4011E+01   0.4417E+01
  0.4790E+00  -0.4011E+01   0.4416E+01
  0.4800E+00  -0.4012E+01   0.4416E+01
  0.4810E+00  -0.4012E+01   0.4417E+01
  0.4820E+00  -0.4013E+01   0.4415E+01
  0.4830E+00  -0.4014E+01   0.4412E+01
  0.4840E+00  -0.4014E+01   0.4409E+01
  0.4850E+00  -0.4016E+01   0.4406E+01
  0.4860E+00  -0.4017E+01   0.4402E+01
  0.4870E+00  -0.4017E+01   0.4400E+01
  0.4880E+00  -0.4018E+01   0.4397E+01
  0.4890E+00  -0.4019E+01   0.4393E+01
  0.4900E+00  -0.4020E+01   0.4391E+01
  0.4910E+00  -0.4021E+01   0.4387E+01
  0.4920E+00  -0.4022E+01   0.4383E+01
  0.4930E+00  -0.4023E+01   0.4379E+01
  0.4940E+00  -0.4024E+01   0.4376E+01
  0.4950E+00  -0.4025E+01   0.4373E+01
  0.4960E+00  -0.4026E+01   0.4369E+01
  0.4970E+00  -0.4027E+01   0.4367E+01
  0.4980E+00  -0.4028E+01   0.4363E+01
  0.4990E+00  -0.4029E+01   0.4360E+01
  0.5000E+00  -0.4030E+01   0.4356E+01
  0.5010E+00  -0.4031E+01   0.4352E+01
  0.5020E+00  -0.4032E+01   0.4347E+01
  0.5030E+00  -0.4033E+01   0.4342E+01
  0.5040E+00  -0.4034E+01   0.4338E+01
  0.5050E+00  -0.4035E+01   0.4333E+01
  0.5060E+00  -0.4036E+01   0.4330E+01
  0.5070E+00  -0.4038E+01   0.4325E+01
  0.5080E+00  -0.4039E+01   0.4321E+01
  0.5090E+00  -0.4040E+01   0.4316E+01
  0.5100E+00  -0.4041E+01   0.4310E+01
  0.5110E+00  -0.4043E+01   0.4305E+01
  0.5120E+00  -0.4044E+01   0.4301E+01
  0.5130E+00  -0.4045E+01   0.4295E+01
  0.5140E+00  -0.4046E+01   0.4291E+01
  0.5150E+00  -0.4047E+01   0.4287E+01
  0.5160E+00  -0.4048E+01   0.4283E+01
  0.5170E+00  -0.4049E+01   0.4278E+01
  0.5180E+00  -0.4050E+01   0.4273E+01
  0.5190E+00  -0.4051E+01   0.4269E+01
  0.5200E+00  -0.4052E+01   0.4264E+01
  0.5210E+00  -0.4054E+01   0.4258E+01
  0.5220E+00  -0.4055E+01   0.4253E+01
  0.5230E+00  -0.4056E+01   0.4247E+01
  0.5240E+00  -0.4058E+01   0.4241E+01
  0.5250E+00  -0.4059E+01   0.4234E+01
  0.5260E+00  -0.4061E+01   0.4228E+01
  0.5270E+00  -0.4062E+01   0.4222E+01
  0.5280E+00  -0.4064E+01   0.4217E+01
  0.5290E+00  -0.4065E+01   0.4211E+01
  0.5300E+00  -0.4065E+01   0.4210E+01
  0.5310E+00  -0.4066E+01   0.4206E+01
  0.5320E+00  -0.4067E+01   0.4201E+01
  0.5330E+00  -0.4068E+01   0.4195E+01
  0.5340E+00  -0.4070E+01   0.4189E+01
